EPISODE,AVERAGE SCORE,MAX_SCORE
317,3.23,7.95
318,2.77,6.42
319,3.74,17.3
320,3.17,8.88
321,3.05,6.97
322,3.14,7.18
323,3.83,12.96
324,3.57,8.86
325,3.39,8.21
326,3.68,7.91
327,3.07,6.53
328,3.32,7.05
329,3.17,7.06
330,3.47,11.99
331,3.95,20.64
332,4.04,9.5
333,2.84,7.73
334,3.27,7.87
335,3.91,8.91
336,3.58,7.58
337,3.68,8.19
338,3.32,9.1
339,3.31,9.14
340,3.04,7.43
341,2.87,8.08
342,3.63,7.74
343,3.44,7.29
344,3.32,6.83
345,3.33,7.82
346,3.46,8.17
347,3.61,7.46
348,2.93,6.92
349,3.45,7.69
350,3.34,8.05
351,3.51,8.38
352,4.73,22.16
353,2.59,5.91
354,2.95,6.93
355,3.24,8.34
356,3.35,9.03
357,3.5,7.94
358,3.4,7.72
359,3.34,8.95
360,2.92,10.03
361,3.62,8.43
362,3.27,6.29
363,3.75,12.68
364,3.3,5.97
365,3.09,6.15
366,3.21,6.46
367,3.51,6.18
368,3.31,6.21
369,3.71,17.25
370,3.18,7.4
371,3.28,6.87
372,3.52,8.51
373,3.57,9.93
374,3.48,6.49
375,3.54,8.27
376,3.27,8.24
377,3.69,6.89
378,2.82,5.41
379,3.52,7.11
380,2.81,6.16
381,3.89,13.66
382,4.09,17.78
383,3.82,14.07
384,3.93,13.42
385,3.37,9.46
386,3.24,7.65
387,3.78,7.85
388,3.15,5.83
389,3.21,6.43
390,3.25,9.7
391,2.93,7.02
392,2.91,6.54
393,3.08,6.83
394,3.27,6.71
395,3.28,7.86
396,3.96,8.64
397,4.3,10.3
398,3.92,9.29
399,3.9,13.81
400,3.94,14.44
401,4.0,19.25
402,3.19,9.34
403,3.13,6.9
404,3.09,6.98
405,3.21,6.98
406,3.02,6.11
407,3.07,7.44
408,3.0,7.93
409,3.49,9.76
410,3.42,6.62
411,3.28,7.43
412,3.92,10.11
413,3.17,8.04
414,2.75,7.44
415,3.59,9.35
416,4.06,8.75
417,3.83,7.74
418,3.55,7.92
419,3.89,14.49
420,3.81,9.91
421,3.1,7.61
422,4.86,22.91
423,2.97,8.1
424,3.45,8.37
425,4.07,8.84
426,3.74,7.71
427,4.0,12.15
428,3.75,9.49
429,3.46,8.06
430,3.85,10.07
431,3.42,7.71
432,3.48,8.37
433,3.17,7.84
434,3.54,9.76
435,3.64,13.48
436,3.5,7.9
437,3.69,6.66
438,3.43,9.07
439,3.61,12.73
440,3.15,7.03
441,3.67,8.17
442,3.32,8.96
443,3.58,8.81
444,3.16,8.47
445,3.77,7.45
446,2.88,8.11
447,3.67,8.09
448,4.26,8.62
449,3.4,9.35
450,3.59,8.12
451,4.11,16.06
452,3.54,10.5
453,3.71,7.7
454,3.95,18.88
455,3.51,7.89
456,4.17,15.35
457,3.45,11.16
458,4.0,8.63
459,3.91,15.19
460,3.61,9.12
461,3.48,9.49
462,3.59,7.26
463,3.98,10.02
464,3.8,16.64
465,4.19,13.81
466,3.95,8.24
467,4.5,8.24
