EPISODE,AVERAGE SCORE,MAX_SCORE
318,6.83,6.83
319,6.07,6.07
320,5.64,5.64
321,2.57,2.57
322,2.43,2.43
323,2.31,2.31
324,0.9,0.9
325,1.71,1.71
326,0.91,0.91
327,1.36,1.36
328,1.11,1.11
329,2.06,2.06
330,3.06,3.06
331,2.57,2.57
332,5.55,5.55
333,9.37,9.37
334,9.25,9.25
335,8.05,8.05
336,5.54,5.54
337,6.84,6.84
338,6.32,6.32
339,8.17,8.17
340,6.5,6.5
341,3.51,3.51
342,2.79,2.79
343,3.87,3.87
344,4.4,4.4
345,3.28,3.28
346,4.29,4.29
347,4.75,4.75
348,5.22,5.22
349,9.0,9.0
350,5.41,5.41
351,8.08,8.08
352,9.55,9.55
353,7.1,7.1
354,8.53,8.53
355,6.9,6.9
356,7.22,7.22
357,9.33,9.33
358,8.8,8.8
359,8.89,8.89
360,8.14,8.14
361,7.62,7.62
362,5.11,5.11
363,4.99,4.99
364,5.77,5.77
365,3.42,3.42
366,2.62,2.62
367,2.91,2.91
368,3.83,3.83
369,3.25,3.25
370,3.23,3.23
371,3.61,3.61
372,6.6,6.6
373,4.97,4.97
374,4.03,4.03
375,3.64,3.64
376,4.93,4.93
377,4.46,4.46
378,1.97,1.97
379,1.57,1.57
380,2.03,2.03
381,2.65,2.65
382,2.93,2.93
383,2.37,2.37
384,2.31,2.31
385,1.75,1.75
386,2.19,2.19
387,3.16,3.16
388,2.42,2.42
389,2.35,2.35
390,1.1,1.1
391,1.23,1.23
392,3.21,3.21
393,2.2,2.2
394,2.94,2.94
395,2.75,2.75
396,3.55,3.55
397,3.75,3.75
398,4.35,4.35
399,3.14,3.14
400,4.07,4.07
401,2.97,2.97
402,1.27,1.27
403,0.81,0.81
404,1.15,1.15
405,0.86,0.86
406,0.79,0.79
407,0.78,0.78
408,0.76,0.76
409,1.05,1.05
410,0.65,0.65
411,0.71,0.71
412,0.23,0.23
413,1.14,1.14
414,0.57,0.57
415,0.66,0.66
416,1.91,1.91
417,0.71,0.71
418,0.69,0.69
419,1.91,1.91
420,4.95,4.95
421,3.61,3.61
422,3.89,3.89
423,5.2,5.2
424,2.37,2.37
425,2.11,2.11
426,1.88,1.88
427,2.61,2.61
428,2.39,2.39
429,2.76,2.76
430,4.35,4.35
431,2.65,2.65
432,1.65,1.65
433,3.06,3.06
434,2.6,2.6
435,2.84,2.84
436,2.99,2.99
437,1.96,1.96
438,3.87,3.87
439,4.97,4.97
440,5.64,5.64
441,7.66,7.66
442,7.7,7.7
443,5.67,5.67
444,7.6,7.6
445,5.13,5.13
446,4.94,4.94
447,5.98,5.98
448,3.44,3.44
449,4.53,4.53
450,5.12,5.12
451,4.61,4.61
452,3.98,3.98
453,5.71,5.71
454,5.78,5.78
455,4.74,4.74
456,5.82,5.82
457,6.22,6.22
458,4.11,4.11
459,4.36,4.36
460,2.82,2.82
461,1.49,1.49
462,1.41,1.41
463,1.07,1.07
464,0.02,0.02
465,0.24,0.24
466,0.2,0.2
467,0.59,0.59
468,0.22,0.22
469,0.13,0.13
470,0.26,0.26
471,0.44,0.44
472,0.14,0.14
473,0.44,0.44
474,0.45,0.45
475,0.73,0.73
476,0.58,0.58
477,1.86,1.86
478,1.05,1.05
479,1.35,1.35
480,2.63,2.63
481,0.81,0.81
482,1.31,1.31
483,0.68,0.68
484,0.66,0.66
485,0.88,0.88
486,2.4,2.4
487,3.1,3.1
488,2.15,2.15
489,1.92,1.92
490,2.05,2.05
491,2.0,2.0
492,2.89,2.89
493,1.82,1.82
494,0.88,0.88
495,0.51,0.51
496,0.31,0.31
497,0.39,0.39
498,0.19,0.19
499,0.45,0.45
500,0.45,0.45
501,1.06,1.06
502,2.51,2.51
