EPISODE,AVERAGE SCORE,MAX_SCORE
1,0.29,0.29
2,0.45,0.61
3,0.3,0.0
4,0.28,0.21
5,0.33,0.52
6,0.34,0.4
7,0.44,1.03
8,0.43,0.42
9,0.4,0.15
10,0.39,0.23
