EPISODE,AVERAGE SCORE,MAX_SCORE
1,0.49,0.49
2,1.07,1.07
3,1.04,1.04
4,0.91,0.91
5,0.91,0.91
6,1.1,1.1
7,1.01,1.01
8,1.03,1.03
9,0.87,0.87
10,1.1,1.1
11,0.91,0.91
12,0.91,0.91
13,0.91,0.91
14,1.0,1.0
15,0.97,0.97
16,0.97,0.97
17,1.12,1.12
18,0.86,0.86
19,0.78,0.78
20,0.85,0.85
21,1.17,1.17
22,0.87,0.87
23,1.04,1.04
24,1.03,1.03
25,0.99,0.99
26,0.96,0.96
27,1.04,1.04
28,0.98,0.98
29,0.95,0.95
30,0.87,0.87
31,1.1,1.1
32,0.95,0.95
33,1.0,1.0
34,1.08,1.08
35,0.97,0.97
36,1.01,1.01
37,0.78,0.78
38,1.04,1.04
39,0.81,0.81
40,1.02,1.02
41,0.96,0.96
42,1.15,1.15
43,1.21,1.21
44,1.58,1.58
45,1.48,1.48
46,1.14,1.14
47,1.42,1.42
48,1.75,1.75
49,1.53,1.53
50,1.86,1.86
51,1.66,1.66
52,1.9,1.9
53,1.79,1.79
54,1.73,1.73
55,2.0,2.0
56,1.98,1.98
57,2.31,2.31
58,2.16,2.16
59,1.91,1.91
60,2.24,2.24
61,2.42,2.42
62,2.55,2.55
63,2.81,2.81
64,2.58,2.58
65,2.64,2.64
66,2.95,2.95
67,2.82,2.82
68,2.31,2.31
69,2.64,2.64
70,2.76,2.76
71,2.26,2.26
72,2.44,2.44
73,2.74,2.74
74,2.5,2.5
75,2.88,2.88
76,2.3,2.3
77,2.78,2.78
78,2.64,2.64
79,1.96,1.96
80,1.82,1.82
81,2.39,2.39
82,1.76,1.76
83,1.78,1.78
84,1.69,1.69
85,1.6,1.6
86,1.46,1.46
87,1.76,1.76
88,1.93,1.93
89,1.78,1.78
90,1.78,1.78
91,2.22,2.22
92,1.85,1.85
93,1.85,1.85
94,1.69,1.69
95,2.14,2.14
96,1.64,1.64
97,1.48,1.48
98,1.75,1.75
99,1.67,1.67
100,1.56,1.56
101,1.6,1.6
102,1.54,1.54
103,1.47,1.47
104,1.5,1.5
105,1.5,1.5
106,1.53,1.53
107,1.44,1.44
108,1.23,1.23
109,1.27,1.27
110,1.0,1.0
111,1.37,1.37
112,1.29,1.29
113,1.2,1.2
114,1.14,1.14
115,1.01,1.01
116,1.42,1.42
117,1.56,1.56
118,1.45,1.45
119,1.2,1.2
120,1.33,1.33
121,1.18,1.18
122,1.41,1.41
123,1.14,1.14
124,1.05,1.05
125,1.27,1.27
126,1.7,1.7
127,1.44,1.44
128,1.76,1.76
129,1.32,1.32
130,1.15,1.15
131,1.8,1.8
132,1.4,1.4
133,1.46,1.46
134,1.23,1.23
135,1.57,1.57
136,1.43,1.43
137,1.32,1.32
138,1.14,1.14
139,1.3,1.3
140,1.18,1.18
141,0.97,0.97
142,1.2,1.2
143,1.0,1.0
144,1.41,1.41
