EPISODE,AVERAGE SCORE,MAX_SCORE
1,0.21,0.21
2,0.19,0.19
3,0.13,0.13
4,0.12,0.12
5,0.14,0.14
6,0.2,0.2
7,0.15,0.15
8,0.18,0.18
9,0.72,0.72
10,0.88,0.88
11,0.69,0.69
12,0.42,0.42
13,0.06,0.06
14,0.47,0.47
15,0.72,0.72
16,0.73,0.73
17,0.67,0.67
18,0.73,0.73
19,0.8,0.8
20,0.73,0.73
21,0.66,0.66
22,0.39,0.39
23,0.05,0.05
24,0.01,0.01
25,0.01,0.01
26,0.01,0.01
27,0.43,0.43
28,0.67,0.67
29,0.84,0.84
30,0.97,0.97
31,1.14,1.14
32,0.91,0.91
33,0.62,0.62
34,0.01,0.01
35,0.01,0.01
36,0.0,0.0
37,0.03,0.03
38,0.05,0.05
